61.97,-51.83,109.59,244.8,53.53,-  203.2,
69.95,-71.43,106.34,248.05,42.69,-225.66,
62.4,-67.82,97.44,232.06,52.79,-197.79,
69.95,-52.21,94.44,204.61,21.03,-177.6,
69.95, -52.21,109.78,241.4,66.05,-193.39,
5.25,-46.86,91.34,166.09,32.52,-193.39,
5.25,-23.76,77.59,155.19,55.20,-210.27,
-11.63,-32.44,100.97,158.25,77.85,-156.61,
14.13,-43.24,122.72,168.51,84.13,-172.35,
15.29,-61.81,95.66,186.81,47.34,-185.69,
15.29,-64.98,96.44,182.09,34.37,-206.65,
15.29,-64.98,96.44,157.62,28.94,-182.62,
38.20,-68.95,106.8,194.08,13.43,-201.51,
44.88,-42.98,103.94,201.75,25.79,-201.51,
44.88,-42.98,91.70,182.37,23.93,-180.74,
42.26,-21.37,89.72,182.37,55.27,-180.74,
42.26,-21.62,56.62,202.63,52.77,-188.52,
47.71,-21.62,56.62,191.89,35.93,-218.10,
47.71,-21.96,43.02,227.67,35.93,-231.38,
61.41,-21.96,51.39,227.88,22.26,-223.50,
