PNTK1;1564.837;1108.247;243.583;;;;
PNTK2;1561.637;1237.164;433.391;;;;
PNTK3;1412.560;1087.714;654.642;;;;
PNTK4;1776.428;875.613;772.975;;;;
PNTK5;1813.396;981.746;973.008;;;;
PNTK6;1619.362;872.685;1182.740;;;;
PNTK7;1843.976;1192.921;990.093;;;;
PNTK8;1771.268;1267.016;1194.727;;;;
PNTK9;1524.466;1106.665;1278.458;;;;
PNTK10;2099.959;749.852;426.314;;;;
PNTK11;2180.912;889.286;589.606;;;;
PNTK12;1960.414;944.152;794.235;;;;
PNTK13;1713.810;922.420;321.006;;;;
PNTK14;1684.262;1022.416;525.347;;;;
PNTK15;1490.504;855.064;692.709;;;;
PNTK16;34.377;2811.045;767.876;;;;
PNTK17;302.118;2402.651;563.933;;;;
PNTK18;241.812;2229.506;808.690;;;;
PNTK19;250.630;2479.992;-7.049;;;;
PNTK20;419.919;2475.659;147.750;;;;
PNTK21;370.202;2247.747;345.578;;;;
PNTK22;-172.510;2065.637;16.187;;;;
PNTK23;-201.930;2120.198;237.122;;;;
PNTK24;-409.252;1932.306;360.912;;;;
PNTK25;528.129;1689.506;115.407;;;;
PNTK26;530.162;1741.876;338.767;;;;
PNTK27;321.841;1571.654;484.469;;;;
PNTK28;569.635;2223.054;889.174;;;;
PNTK29;571.947;2236.185;1118.286;;;;
PNTK30;428.403;1992.356;1234.923;;;;
PNTK31;514.264;2186.141;898.313;;;;
PNTK32;617.725;2217.205;1100.724;;;;
PNTK33;543.885;1987.143;1288.390;;;;
PNTK34;597.104;2148.509;844.752;;;;
PNTK35;705.549;2185.411;1043.618;;;;
PNTK36;587.119;2003.018;1258.673;;;;
PNTK37;1185.734;1579.286;636.962;;;;
PNTK38;1300.549;1682.634;806.686;;;;
PNTK39;1169.541;1613.589;1074.151;;;;
PNTK40;1327.745;1429.849;-3.692;;;;
PNTK41;1455.181;1562.853;133.082;;;;
PNTK42;1354.333;1538.307;420.631;;;;
PNTK43;1582.019;1589.943;186.400;;;;
PNTK44;1684.469;1701.562;358.690;;;;
PNTK45;1516.367;1672.152;612.413;;;;
PNTK46;1456.031;1617.820;-314.586;;;;
PNTK47;1529.226;1704.381;-115.095;;;;
PNTK48;1333.993;1626.026;106.894;;;;
PNTK49;1803.889;2141.011;294.905;;;;
PNTK50;1770.871;2164.272;520.759;;;;
PNTK51;1547.466;1975.180;610.247;;;;
PNTK52;1959.450;1957.749;206.061;;;;
PNTK53;2080.921;1937.974;399.656;;;;
PNTK54;1748.873;2179.752;629.112;;;;
PNTK55;1999.602;2087.634;475.610;;;;
PNTK56;2044.938;2121.432;698.009;;;;
PNTK57;1884.695;1921.656;865.376;;;;
PNTK58;2385.802;1419.575;198.726;;;;
PNTK59;2471.932;1495.993;397.220;;;;
PNTK60;2277.450;1430.164;623.871;;;;
