time,x,y,z
8723,0.17652,4.94255,7.73103
8773,-4.29531,7.49228,4.23458
8831,-10.57157,9.02212,14.10233
8878,2.37321,2.82432,24.47513
8923,8.57101,0.98067,9.55694
8973,8.61024,1.52984,2.75830
9024,3.58923,-3.13813,10.80013
9073,5.35443,-3.76575,4.00148
9123,4.96216,4.04034,8.11952
9172,5.66824,8.15913,14.21889
9222,-0.01961,6.82543,14.60737
9273,-5.98206,7.49228,-0.42733
9324,-7.59035,5.29559,8.35261
9373,-7.94339,5.33482,7.65333
9423,-2.09862,7.68841,10.83898
9472,-2.25553,5.64863,18.14267
9523,4.92294,0.31381,9.86774
9572,5.11907,-0.82376,8.54686
9622,13.31743,0.11768,4.54538
9672,3.04006,-4.43261,8.89651
9724,3.19697,4.78565,10.29509
9773,11.08151,10.04201,2.05901
9831,-6.37432,3.60885,24.24204
9873,-1.11796,8.82598,-1.94245
9923,-4.33454,5.57018,18.64771
9973,-2.60857,9.92433,0.85467
10023,-3.86382,5.53095,25.32982
10075,3.35387,14.39616,-12.00446
10123,5.19752,-0.31381,34.22633
10173,1.74558,-1.37293,-5.16697
10223,10.49312,-4.94255,16.47215
10272,8.61024,-5.33482,-8.85766
10323,0.09807,-0.66685,11.26633
10373,9.31632,10.15969,8.31377
10423,-0.64724,6.90388,24.90248
10473,-4.56990,10.04201,-10.52818
10523,-6.68814,6.35471,9.94544
10572,-5.00139,7.33537,2.79715
10622,-1.98094,5.84476,18.57001
10672,-0.76492,11.92489,6.72095
10723,9.51245,1.29448,23.42619
10773,0.56879,-2.15746,-3.76839
10834,10.21853,-3.56962,4.54538
10873,7.82571,-6.94311,6.56555
10922,2.09862,-0.50995,6.91518
10972,11.00306,12.23870,15.73401
11022,-4.72681,7.68841,22.96000
11072,-0.33343,8.27681,-6.25475
11122,-6.37432,5.92322,9.98429
11172,-1.74558,9.88510,-1.74822
11222,-5.98206,6.47239,27.23343
11273,-1.86326,14.43539,3.65184
11324,12.21909,2.19669,18.64771
11373,0.68647,-4.51106,2.79715
11423,9.63013,-4.43261,5.08927
11473,10.17930,-5.41327,2.25326
11523,4.96216,-1.17680,7.57564
11572,10.33621,11.25803,9.01305
11623,-1.03950,8.15913,18.95851
11673,-2.17708,8.59063,-3.22449
11723,-7.00195,6.43316,9.47925
11773,-3.07929,9.29670,-0.03884
11830,-5.35443,6.43316,24.90248
11874,6.21742,10.35582,7.03173
11922,7.00195,0.94144,13.94693
11972,0.80415,-5.45250,7.92527
12023,11.08151,-2.86354,-4.31227
12072,8.33565,-5.96244,0.15539
12124,5.78592,1.05912,7.88642
12174,2.60857,10.12046,15.65632
12223,3.04006,6.59007,24.51397
12273,-1.70636,9.80665,-3.65184
12323,-2.49089,8.31604,6.56555
12373,-5.27598,7.64919,12.66491
12423,-0.68647,9.64974,7.18713
12473,3.47155,2.27514,22.18301
12524,6.64891,1.09834,1.74822
12573,4.76603,-0.86299,13.13110
12625,9.51245,-3.13813,-0.50504
12673,0.88260,-6.27626,9.63465
12725,10.25776,9.25748,8.89651
12773,1.15718,4.58951,30.10829
12829,-0.21575,10.23814,-5.28351
12873,-3.15774,7.64919,4.85617
12924,-6.02128,7.72764,1.63167
12973,-6.57046,7.13924,13.28650
13023,-8.02184,12.43483,5.05042
13073,16.45556,3.41271,40.79188
13123,4.53067,-1.33370,0.66044
13173,5.58979,-4.07957,1.86476
13223,8.61024,-5.84476,0.07770
13273,3.55001,-7.57073,6.60440
13323,5.35443,4.07957,14.33543
13373,10.02240,9.64974,30.88529
13423,-5.04062,10.27737,0.50504
13473,0.05884,9.29670,4.15688
13523,-6.60968,9.49284,2.40865
13573,-9.19864,7.37460,17.36568
13623,1.39254,9.96356,17.21029
13673,5.43288,5.60940,21.87222
13723,2.45166,-0.86299,6.75979
13773,7.90416,-1.96133,3.03025
13824,7.04117,-5.09946,-0.50504
13892,9.51245,-9.96356,8.70226
13922,6.37432,-2.70664,3.57414
13972,9.23786,4.70719,50.34883
14023,3.15774,10.98345,-5.82740
14073,-11.82682,7.13924,0.93237
14124,-2.02017,8.43372,2.68061
14173,-6.96272,6.51162,9.05190
14223,-2.64780,7.33537,12.85915
14273,0.29420,8.78676,8.81881
14323,10.29698,1.41216,15.85055
14373,5.19752,-2.86354,1.63167
14423,8.72792,-4.43261,3.26334
14472,5.27598,-6.15858,6.91518
14523,0.80415,-3.92266,9.94544
14574,9.74781,6.90388,20.35709
14622,-1.94172,7.76687,8.19722
14674,-2.56934,7.96300,-0.46618
14722,-3.15774,6.94311,9.16846
14773,-4.21686,8.15913,12.93685
14823,0.64724,10.82654,7.57564
14886,8.80637,3.56962,31.11838
14923,7.51189,1.09834,0.97122
14973,-0.29420,-4.11879,0.81583
15023,7.31576,-4.98178,-0.19424
15074,7.51189,-7.17847,8.31377
15124,5.55056,1.41216,18.64771
15176,9.04173,12.86633,6.21590
15225,-0.92183,6.90388,16.39445
15273,-0.09807,9.29670,-4.50652
15323,-6.29587,8.31604,15.53976
15373,-4.96216,9.64974,5.36121
15425,-1.19641,7.33537,19.30816
15472,6.13896,7.49228,9.36270
15522,7.08040,-2.70664,2.25326
15573,1.98094,-5.60940,9.86774
15623,8.57101,-3.60885,-2.44750
15673,5.19752,-6.35471,3.88493
15723,5.00139,0.39227,14.45198
15773,10.65002,9.72820,25.79601
15824,3.00083,10.00278,14.56852
15873,-1.43177,11.33649,-10.60589
15930,-6.41355,9.76742,8.04182
15973,-3.43233,8.04145,11.14978
16023,-0.52956,7.21769,16.74410
16077,1.47100,8.55140,18.88081
16124,8.06107,0.31381,8.62457
16174,1.07873,-4.55029,6.02165
16225,9.15941,-5.45250,2.87484
16273,6.88427,-5.96244,-3.14680
16325,5.15830,-2.66741,8.97421
16375,3.51078,9.45361,12.78146
16423,1.78481,8.82598,21.25063
16476,-1.15718,9.33593,1.08778
16523,-2.76548,8.47295,8.58572
16574,-4.33454,7.53151,4.00148
16623,-3.90305,5.37404,17.59877
16673,-4.37377,11.57185,1.90361
16723,5.90360,0.98067,26.26221
16776,4.60913,0.00000,3.84608
16831,10.76770,-3.05967,5.16697
16880,5.31520,-9.21825,4.00148
16935,3.31465,-5.45250,2.83600
16977,3.78537,6.11935,9.24616
17023,-1.74558,6.35471,27.00034
17073,-1.94172,10.90499,-0.23309
17123,-1.07873,10.12046,10.06199
17173,-4.64835,11.68953,8.04182
17227,-5.70747,8.59063,22.06646
17273,-2.45166,10.59118,10.64474
